problema,instancia,tarefas,maquinas,operacoes,status_terminacao,status_primal,valor_objetivo_ou_makespan,melhor_limite,gap_relativo,tempo_solucao,quantidade_variaveis,quantidade_restricoes,limite_tempo,mensagem_erro,solucao_validada,mensagem_validacao
Flow Shop Scheduling,problem_3m_10j,10,3,30,OPTIMAL,FEASIBLE_POINT,126.0,126.0,0.0,0.016689981,131,231,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Flow Shop Scheduling,problem_3m_20j,20,3,60,OPTIMAL,FEASIBLE_POINT,218.0,218.0,0.0,0.051607178,461,661,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Flow Shop Scheduling,problem_10m_20j,20,10,200,TIME_LIMIT,FEASIBLE_POINT,290.0,283.00000000000676,0.024137931034459242,300.249301759,601,1214,true,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Flow Shop Scheduling,problem_5m_10j,10,5,50,OPTIMAL,FEASIBLE_POINT,129.0,128.40974780551468,0.004575598406862917,0.203412503,151,309,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Flow Shop Scheduling,problem_5m_20j,20,5,100,OPTIMAL,FEASIBLE_POINT,264.0,261.36363636363467,0.009986225895323225,6.013789192,501,819,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Flow Shop Scheduling,problem_5m_30j,30,5,150,OPTIMAL,FEASIBLE_POINT,330.0,327.00000000000006,0.009090909090901237,0.618970044,1051,1529,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Flow Shop Scheduling,problem_8m_10j,10,8,80,OPTIMAL,FEASIBLE_POINT,187.0,185.55449243716674,0.0077299869670227625,2.095669674,181,426,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
